Jugador,Goles_por_90,Asistencias_por_90,Tiros_por_90,Tiros_al_arco_por_90,Efectividad_Tiros,Goles Esperados (xG),Asistencias Esperadas (xAG),Diferencia_Goles,Diferencia_Asistencias,Acciones Creadoras de Gol (SCA) por 90,Contribuciones de Gol (GCA) por 90,xOVA,Tacleadas_por_90,Intercepciones_por_90,Bloqueos_por_90,PPDA,Porcentaje de Pases Completados,Pases_progresivos_por_90,Regates_exitosos_por_90,Conducciones_por_90,Conducciones_progresivas_por_90,Tarjetas_amarillas_por_90,Tarjetas_rojas_por_90,Minutos,Goles_Favor,Goles_Contra,Resultado_Final_Num,Posicion_Normalizada,Posición,Ranking_Ofensivo,Ranking_Defensivo,Ranking_Creacion_Juego,Ranking_Pases
Alexis Mac Allister,0.1760048121726276,0.1539374940628859,1.3632507039823414,0.2853121714799869,0.1376811594202898,0.103030303030303,0.106060606060606,-0.0484848484848484,-0.0454545454545454,3.732546386663633,0.6493181296874241,-1.5181818181818183,3.5191551724267627,1.3849132745420834,2.1771414575348262,65.43728191000919,0.8634242424242424,7.044506892718752,0.5949273824021509,45.96511435365845,1.439791687764845,0.2466436517069428,0.0478468899521531,2599.0,78,39,17,Mediocampista,"['CM', 'CM,LM', 'LM', 'LM,RM', 'RM', 'RM,LM', 'CM,DM,LM', 'CM,RM', 'RM,CM,CB']",0.18569188034995562,0.3113902986676786,0.31402760076122543,0.8323295853625972
Alfie Doughty,0.0586170586170586,0.2219740032637327,0.7659923362176102,0.2249372249372249,0.0833333333333333,0.0324324324324324,0.1702702702702702,-0.0216216216216216,-0.0459459459459459,3.4130177462645848,0.4520011988081697,-0.6081081081081081,1.8677930288114808,0.9696253713619196,1.5879325538317008,162.69993386243385,0.6586486486486487,3.1550584392604053,0.9569239577258823,26.86189550971789,2.862401710116424,0.1455871044912141,0.0,2925.0,51,82,-17,Defensor,"['WB', 'RM,RB', 'RB,LB', 'LM,FW', 'LM', 'LB', 'RM,LB', 'WB,CB', 'WB,LB', 'CB,WB', 'LB,WB']",0.17972326930963392,0.18102624873163514,0.23983354231893048,0.36651446958100453
Amadou Onana,0.1533333333333333,0.0,1.2551531457660705,0.2866666666666667,0.0789473684210526,0.0666666666666666,0.0833333333333333,2.775557561562892e-18,0.0833333333333333,2.099836128783497,0.0333333333333333,-0.7733333333333333,3.1409812994023523,0.8642615545680169,1.2779352226720646,159.81031746031746,0.8307,4.123548232802063,0.6461538461538462,29.393205604078357,0.9573260073260071,0.2483516483516483,0.0,2091.0,30,45,-6,Mediocampista,"['CM', 'CM,DM', 'DM', 'DM,CM', 'CM,RM', 'DM,RW']",0.13048222822697986,0.2231330849516055,0.15552168081430368,0.7578898218504564
Amari'i Bell,0.0,0.0,0.0952380952380952,0.0952380952380952,0.0,0.0095238095238095,0.019047619047619,0.0095238095238095,0.019047619047619,1.2095238095238094,0.1428571428571428,-0.915,2.4,1.1904761904761905,1.5714285714285714,97.28609022556392,0.7374285714285714,3.6666666666666665,0.4857142857142856,29.98095238095238,1.5238095238095235,0.0,0.0,1720.0,33,46,-8,Defensor,"['CB', 'LB', 'WB', 'CB,WB']",0.01702942661163408,0.21718032889300398,0.13198656510992354,0.5457198044277414
Ameen Al-Dakhil,0.0769230769230769,0.0,0.6153846153846154,0.2307692307692307,0.2,0.1,0.0076923076923076,0.023076923076923,0.0076923076923076,0.6153846153846154,0.0769230769230769,-0.5615384615384615,1.0,0.9230769230769232,1.3296703296703296,238.92307692307693,0.8274615384615385,2.945054945054945,0.2307692307692307,42.01098901098901,0.5384615384615384,0.0769230769230769,0.0,1056.0,10,31,-9,Defensor,"['CB', 'CB,RB', 'RB,WB', 'LB', 'LB,CB']",0.09095342404425757,0.1234684603418297,0.05778428279776181,0.75052310246423
Andreas Pereira,0.1058747656184686,0.2084942084942084,1.9368579045947163,0.5941119865813131,0.0576923076923076,0.1243243243243243,0.1864864864864865,0.0432432432432432,-0.0027027027027027,4.5911086570848525,0.4537008239738318,-0.7027777777777778,0.8232823840674462,0.1506293483337125,0.5798515455184589,307.2633333333333,0.6882702702702703,4.470145540774072,0.6284106813573671,28.421538478403505,1.8971516097474603,0.188145028585753,0.0,2613.0,51,59,-5,Mediocampista,"['LM', 'RM', 'AM', 'LW,AM']",0.28073053306892437,0.04007305574273049,0.27382521529222176,0.4338965186372761
Andrew Robertson,0.1490683229813664,0.296359534117934,0.668755030298339,0.2831699468682181,0.2222222222222222,0.0826086956521739,0.2391304347826087,-0.0478260869565217,0.1521739130434782,5.111643896670014,0.3001402524544179,-1.382608695652174,1.9573370497152125,0.6024844720496895,1.0391091758822455,167.7560606060606,0.7914782608695653,7.385406857124663,0.3440453686200378,52.01303146614889,3.3763280679398093,0.109801031687546,0.0,1693.0,52,28,10,Defensor,"['LB', 'LB,WB']",0.29094104994893955,0.1404610328914711,0.4005261686453513,0.6686698195184384
Andros Townsend,0.0416666666666666,0.9349264988840144,1.6183239213125964,0.4784523062189959,0.0277777777777777,0.037037037037037,0.0518518518518518,0.0,-0.0592592592592592,3.284827477053387,1.0812531534073904,-0.7730769230769231,1.3957321947999726,0.2624790890939507,0.7770370757316932,294.421568627451,0.6943703703703704,2.963155462274308,1.2096480099458145,30.14975526441013,5.644565778869401,0.144927536231884,0.0,1210.0,40,61,-11,Mediocampista,"['RM', 'AM', 'RW,AM', 'RW', 'CB', 'FW', 'CM', 'AM,RW', 'AM,FW']",0.07338506662971434,0.08334115369191786,0.3344704556791603,0.447772775968613
Anel Ahmedhodžić,0.064516129032258,0.0,0.6129032258064516,0.1612903225806451,0.0714285714285714,0.1032258064516129,0.0290322580645161,0.0387096774193548,0.0290322580645161,0.8709677419354839,0.032258064516129,-0.62,2.23904294328361,1.2429263378882804,1.533248918533442,162.45492063492063,0.725483870967742,1.4165587945943148,0.3552011598405219,20.163808645142463,0.4984207528607673,0.3555636100036245,0.0326205146792316,2649.0,30,91,-22,Defensor,"['CB', 'CB,WB', 'CB,RB', 'WB']",0.113905632924548,0.20998015197249276,0.02288495061434444,0.5185484900852952
Anthony Elanga,0.1654589371980676,0.4542847221027662,2.2432623874349784,0.7806627718778385,0.1025641025641025,0.1805555555555555,0.1888888888888888,0.0416666666666666,-0.0611111111111111,3.063840860955686,0.6805900025696134,-0.6111111111111112,1.042349978873431,0.4564616639348805,0.7428050672860591,286.99038461538464,0.69075,1.9342579820615051,1.3569145132219012,25.31719814122531,4.08227007811111,0.0277777777777777,0.0,2433.0,45,62,-10,Delantero,"['RW', 'LW', 'CM', 'AM', 'WB,RW', 'FW,LW', 'LW,LM', 'LM', 'FW', 'RW,FW', 'FW,RW', 'RM,RW', 'LW,RM', 'RW,AM', 'RM']",0.335512944871706,0.07383665571247844,0.24771428652470692,0.4395373060468679
Anthony Gordon,0.337249296022834,0.3077678008705228,2.534695931117368,0.9094103810620032,0.1414141414141414,0.2885714285714285,0.2285714285714285,-0.0257142857142857,-0.0571428571428571,4.371231398492744,0.897034284281869,-0.84,1.635605275325446,0.2070299933096875,0.8227728801439012,178.28494623655914,0.7636285714285714,3.3399689505346144,1.6471771371126194,29.86534817738416,4.226192281779366,0.3718101452463351,0.0288924558587479,2890.0,78,57,3,Delantero,"['LW', 'LW,RW', 'RW,LW', 'LW,RM,RW', 'LW,FW', 'FW,LW', 'RW,LW,LM', 'FW', 'LW,RW,RM', 'RW,LM', 'AM', 'LW,RM', 'LM,FW', 'LW,LM']",0.4735101107580842,0.0946386520928901,0.3429082533104682,0.6053184890583523
Antoine Semenyo,0.2726275274752373,0.1025641025641025,3.3156588407708103,1.3482444910805047,0.1154761904761904,0.1454545454545454,0.0939393939393939,-0.0969696969696969,0.0333333333333333,3.181894316038061,0.4237989640847967,-0.8696969696969696,0.9319734935894683,0.2421315880490595,1.6983587287779134,218.4484126984127,0.6948787878787879,2.9062211973347205,2.6026681146381443,29.44754514109567,4.026942343940673,0.236627140974967,0.0,2105.0,51,56,0,Delantero,"['RW', 'LW,AM', 'AM', 'CM', 'LW', 'RW,AM', 'RW,LW,RM,AM', 'RW,RM', 'LW,CM', 'LW,RM', 'RM,RW', 'RW,RM,LM', 'RW,LW']",0.21400452246430218,0.10480207383942985,0.30498385880189843,0.44892930324895075
Antonee Robinson,0.0,0.1621621621621621,0.4410752215630264,0.1918259723137771,0.0,0.0135135135135135,0.1081081081081081,0.0135135135135135,-0.054054054054054,1.9069682003381765,0.1891891891891892,-0.911111111111111,2.5983531718906394,2.190370443510908,1.5252763057641108,92.47323622323624,0.7311891891891893,3.5682159769359303,1.0201262567775422,35.023391880634215,2.706520740149009,0.1667251667251667,0.0,3265.0,54,61,-5,Defensor,"['LB', 'LB,CB']",0.10396782149016622,0.2737314461293944,0.19884414413616439,0.53152671380275
Antony,0.0344827586206896,0.0344827586206896,2.505119240714615,0.7666402271019453,0.006578947368421,0.1172413793103448,0.096551724137931,0.0827586206896551,0.0620689655172413,3.208875579865141,0.3510971786833856,-0.7827586206896552,3.756454817594165,0.7399201108245104,1.7945733370768615,169.51222943722945,0.7816785714285714,3.460159570501835,2.184234647178712,42.92302379418552,9.259920779063364,0.9305039787798408,0.0,1324.0,41,48,0,Delantero,"['RM', 'RW', 'RW,WB', 'LW', 'FW,RW', 'LB', 'RW,LB']",0.1900852213676991,0.27259994507948954,0.4556186643130278,0.6463778882027238
